id,name,WD Lsv,WD Len,WD Dsv,WD Den,WD e-postadress,WD telefonnummer,WD organisationsnummer (Sverige),abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,phone,email,address,contact,tags,source_url
se/halmstads-kommun,Halmstads kommun,Halmstads kommun,Halmstad Municipality,"kommun i Hallands län, Sverige","municipality in Halland County, Sweden",,,212000-1215,,,Större städer,3.0,,,,,http://www.halmstad.se,SE,035-137000,kommunstyrelsen@halmstad.se,Box 153,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/halmstads-tingsratt,Halmstads tingsrätt,Halmstads tingsrätt,Halmstads tingsrätt,,,,,,,,,,,,,,www.halmstadstingsratt.domstol.se,SE,,halmstads.tingsratt@dom.se,BOX 193,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/halso--&-sjukvardens-ansvarsnamnd,Hälso- & sjukvårdens ansvarsnämnd,Hälso- & sjukvårdens ansvarsnämnd,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:socialstyrelsen@socialstyrelsen.se,+46-75-247-30-00,202100-3765,,,,,,,,,www.hsan.se,SE,,,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hammaro-kommun,Hammarö kommun,Hammarö kommun,Hammarö Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1793,,,Förortskommuner till större städer,4.0,,,,,http://www.hammaro.se,SE,054-51 50 00,kommun@hammaro.se,Box 26,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/haninge-kommun,Haninge kommun,Haninge kommun,Haninge Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0084,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.haninge.se,SE,08-6067000,haningekommun@haninge.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/haparanda-stad,Haparanda stad,Haparanda stad,Haparanda Town,,,,,,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.haparanda.se,SE,0922-150 00,kommunen@haparanda.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/haparanda-tingsratt,Haparanda tingsrätt,Haparanda tingsrätt,Haparanda District Court,,,,,,,,,,,,,,www.domstol.se,SE,,haparanda.tingsratt@dom.se,BOX 174,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/harjedalens-kommun,Härjedalens kommun,Härjedalens kommun,Härjedalen Municipality,"kommun i Jämtlands län, Sverige","municipality in Jämtland County, Sweden",,,212000-2510,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.herjedalen.se,SE,0680-16100,kommun@herjedalen.se,Medborgarhuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/harnosands-kommun,Härnösands kommun,Härnösands kommun,Härnösand municipality,"kommun i Västernorrlands län, Sverige","municipality in Västernorrland County, Sweden",,+46-611-34-80-00,212000-2403,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.harnosand.se,SE,0611-348000,kommun@harnosand.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/harpsundsnamnden,Harpsundsnämnden,Harpsundsnämnden,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:per.rudengren@telia.com,+46-157-600-03,202100-4250,,,,,,,,,www.harpsund.se,SE,0157-60785,per.rudengren@telia.com,HARPSUND,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/harryda-kommun,Härryda kommun,Härryda kommun,Härryda Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1264,,,Förortskommuner till storstäderna,2.0,,,,,http://www.harryda.se,SE,031-7246100,kommun@harryda.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hassleholms-kommun,Hässleholms kommun,Hässleholms kommun,Hässleholm Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-0985,,,Större städer,3.0,,,,,http://www.hassleholm.se,SE,0451-267000,kommunen@hassleholm.se,Stadshuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hassleholms-tingsratt,Hässleholms tingsrätt,Hässleholms tingsrätt,Hässleholm District Court,,,,,,,,,,,,,,www.hassleholmstingsratt.domstol.se,SE,,hassleholms.tingsratt@dom.se,BOX 135,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/havs--och-vattenmyndigheten,Havs- och vattenmyndigheten,Havs- och vattenmyndigheten,Swedish Agency for Marine and Water Management,"en statlig miljömyndighet som arbetar för att lösa viktiga miljöproblem och skapa en hållbar förvaltning av hav, sjöar och vattendrag.","A government agency that works for flourishing seas, lakes and streams for the benefit and enjoyment of all.",mailto:havochvatten@havochvatten.se,+46-10-698-60-00,202100-6420,,,,,,,,,www.havochvatten.se,SE,010-6986111,havochvatten@havochvatten.se,BOX 11930,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/heby-kommun,Heby kommun,Heby kommun,Heby Municipality,"kommun i Uppsala län, Sverige","municipality in Uppsala County, Sweden",,,212000-2049,,,Pendlingskommuner,5.0,,,,,http://www.heby.se,SE,0224-36000,information@heby.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hedemora-kommun,Hedemora kommun,Hedemora kommun,Hedemora Municipality,"kommun i Dalarnas län, Sverige","municipality in Dalarna County, Sweden",,,212000-2254,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.hedemora.se,SE,0225-34000,kommun@hedemora.se,Box 201,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/helsingborgs-stad,Helsingborgs kommun,Helsingborgs kommun,Helsingborg Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1157,,,Större städer,3.0,,,,,http://www.helsingborg.se,SE,042-10 50 00,kontaktcenter@helsingborg.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/helsingborgs-tingsratt,Helsingborgs tingsrätt,Helsingborgs tingsrätt,Helsingborgs tingsrätt,,,,,,,,,,,,,,www.helsingborgstingsratt.domstol.se,SE,,helsingborgs.tingsratt@dom.se,BOX 712,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/herrljunga-kommun,Herrljunga kommun,Herrljunga kommun,Herrljunga Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1520,,,Varuproducerande kommuner,7.0,,,,,http://www.herrljunga.se,SE,0513-17000,herrljunga.kommun@admin.herrljunga.se,Box 201,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hjo-kommun,Hjo kommun,Hjo kommun,Hjo Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1728,,,Pendlingskommuner,5.0,,,,,http://www.hjo.se,SE,0503-35000,kommunen@hjo.se,Stadshuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hofors-kommun,Hofors kommun,Hofors kommun,Hofors Municipality,"kommun i Gävleborgs län, Sverige","municipality in Gävleborg County, Sweden",,,212000-2296,,,Varuproducerande kommuner,7.0,,,,,http://www.hofors.se,SE,0290-29000,hofors.kommun@hofors.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hoganas-kommun,Höganäs kommun,Höganäs kommun,Höganäs Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1165,,,Pendlingskommuner,5.0,,,,,http://www.hoganas.se,SE,042-337100,kommunen@hoganas.se,Stadshuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hogsby-kommun,Högsby kommun,Högsby kommun,Högsby Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0688,,,Pendlingskommuner,5.0,,,,,http://www.hogsby.se,SE,0491-29000,kommunkontoret@hogsby.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hogskolan-dalarna,Högskolan Dalarna,Högskolan Dalarna,Dalarna University,svensk statlig förvaltningsmyndighet,higher education institution in Sweden,mailto:registrator@du.se,+46-23-77-80-00,202100-2908,,,,,,,,,www.du.se,SE,023-778090,registrator@du.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogskolan-i-boras,Högskolan i Borås,Högskolan i Borås,University of Borås,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@hb.se,+46-33-435-40-00,202100-3138,,,,,,,,,www.hb.se,SE,033-4354003,registrator@hb.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogskolan-i-gavle,Högskolan i Gävle,Högskolan i Gävle,Gävle University College,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@hig.se,+46-26-64-85-00,202100-2890,,,,,,,,,www.hig.se,SE,026-648686,registrator@hig.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogskolan-i-halmstad,Högskolan i Halmstad,Högskolan i Halmstad,Halmstad University College,svensk högskola,higher education institution,mailto:registrator@hh.se,+46-35-16-71-00,202100-3203,,,,,,,,,www.hh.se,SE,035-186192,registrator@hh.se,BOX 823,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogskolan-i-kristianstad,Högskolan Kristianstad,Högskolan Kristianstad,Kristianstad University College,svensk statlig förvaltningsmyndighet,higher education institution,mailto:info@hkr.se,+46-44-250-30-00,202100-3195,,,,,,,,,www.hkr.se,SE,044-129651,info@hkr.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogskolan-i-skovde,Högskolan i Skövde,Högskolan i Skövde,University of Skövde,svensk statlig förvaltningsmyndighet,higher education institution,mailto:registrator@his.se,+46-500-44-80-00,202100-3146,,,,,,,,,www.his.se,SE,0500-416325,info@his.se,BOX 408,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogskolan-vast,Högskolan Väst,Högskolan Väst,University West,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@hv.se,+46-520-22-30-00,202100-4052,,,,,,,,,www.hv.se,SE,0520-223099,registrator@hv.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogsta-domstolen,Högsta domstolen,Högsta domstolen,supreme court,benämning på den högsta juridiska beslutsinstansen,highest court in a jurisdiction,,,,,,,,,,,,www.hogstadomstolen.se,SE,,hogsta.domstolen@dom.se,BOX 2066,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hogsta-forvaltningsdomstolen,Högsta förvaltningsdomstolen,Högsta förvaltningsdomstolen,Supreme Administrative Court of Sweden,högsta förvaltningsrättsliga domstolen i Sverige,supreme court,,,,,,,,,,,,www.regeringsratten.se,SE,,hogstaforvaltningsdomstolen@dom.se,BOX 2293,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hoors-kommun,Höörs kommun,Höörs kommun,Höör Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1116,,,Förortskommuner till större städer,4.0,,,,,http://www.hoor.se,SE,0413-28000,kommun@hoor.se,Box 53,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/horby-kommun,Hörby kommun,Hörby kommun,Hörby Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1108,,,Förortskommuner till större städer,4.0,,,,,http://www.horby.se,SE,0415-37 80 00,kommunen@horby.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hovratten-for-nedre-norrland,Hovrätten för Nedre Norrland,Hovrätten för Nedre Norrland,Court of Appeal for Southern Norrland,hovrätt i Sverige med säte i Sundsvall,Swedish court of appeal,,,,,,,,,,,,www.hovrattenfornedrenorrland.se,SE,060-186839,hovratten.nedrenorrland@dom.se,BOX 170,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hovratten-for-ovre-norrland,Hovrätten för Övre Norrland,Hovrätten för Övre Norrland,Court of Appeal for Northern Norrland,hovrätt i Sverige som omfattar Västerbottens län och Norrbottens län med säte i Umeå,Swedish court of appeal,,,,,,,,,,,,www.hovrattenovrenorrland.domstol.se,SE,090-138850,hovratten.ovrenorrland@dom.se,BOX 384,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hovratten-for-vastra-sverige,Hovrätten för Västra Sverige,Hovrätten för Västra Sverige,Court of Appeal for Western Sweden,hovrätt i Sverige med säte i Göteborg,Swedish court of appeal,,,,,,,,,,,,www.vastrahovratten.domstol.se,SE,031-7742943,hovratten.vastrasverige@dom.se,BOX 40,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hovratten-over-skane-och-blekinge,Hovrätten över Skåne och Blekinge,Hovrätten över Skåne och Blekinge,Scania and Blekinge Court of Appeal,hovrätt i Sverige med säte i Malmö,Swedish court of appeal,,,,,,,,,,,,www.hovrattenskaneblekinge.domstol.se,SE,040-78311,hovratten.skaneblekinge@dom.se,BOX 846,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/huddinge-kommun,Huddinge kommun,Huddinge kommun,Huddinge Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0068,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.huddinge.se,SE,08-53530000,huddinge@huddinge.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hudiksvalls-kommun,Hudiksvalls kommun,Hudiksvalls kommun,Hudiksvall Municipality,"kommun i Gävleborgs län, Sverige","municipality in Gävleborg County, Sweden",,,212000-2379,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.hudiksvall.se,SE,0650-19000,kommun@hudiksvall.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hudiksvalls-tingsratt,Hudiksvalls tingsrätt,Hudiksvalls tingsrätt,Hudiksvall District Court,tingsrätt i Sverige med säte i Hudiksvall,,,,,,,,,,,,,www.hudiksvallstingsratt.domstol.se,SE,0650-31094,hudiksvalls.tingsratt@dom.se,BOX 1073,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hultsfreds-kommun,Hultsfreds kommun,Hultsfreds kommun,Hultsfred Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,,,,Varuproducerande kommuner,7.0,,,,,http://www.hultsfred.se,SE,0495-240000,kommunen@hultsfred.se,Box 500,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hylte-kommun,Hylte kommun,Hylte kommun,Hylte Municipality,"kommun i Hallands län, Sverige","municipality in Halland County, Sweden",,,,,,Varuproducerande kommuner,7.0,,,,,http://www.hylte.se,SE,0345-18000,kommunen@hylte.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/hyres-och-arrendenamnden-i-goteborg,Hyres Och Arrendenämnden I Göteborg,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,031-7011270,hyresnamndenigoteborg@dom.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnden-i-jonkoping,Hyres Och Arrendenämnden I Jönköping,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,036-156665,hyresnamndenijonkoping@dom.se,BOX 2243,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnden-i-linkoping,Hyres Och Arrendenämnden I Linköping,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,013-145662,hyresnamndenilinkoping@dom.se,BOX 359,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnden-i-stockholm,Hyres Och Arrendenämnden I Stockholm,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,08-561665,hyresnamndenistockholm@dom.se,BOX 8301,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnden-i-sundsvall,Hyres Och Arrendenämnden I Sundsvall,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,060-186794,hyresnamndenisundsvall@dom.se,BOX 415,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnden-i-umea,Hyres Och Arrendenämnden I Umeå,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,090-131394,hyresnamndeniumea@dom.se,BOX 324,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnden-i-vasteras,Hyres Och Arrendenämnden I Västerås,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,021-120175,hyresnamndenivasteras@dom.se,BOX 40,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/hyres-och-arrendenamnen-i-malmo,Hyres Och Arrendenämnen I Malmö,,,,,,,,,,,,,,,,www.hyresnamnden.se,SE,040-302728,hyresnamndenimalmo@dom.se,BOX 4287,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/ilo-kommitten,Ilo-kommittén,Ilo-kommittén,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:a.ilo-kommitten@regeringskansliet.se,+46-8-405-10-00,,,,,,,,,,www.ilo.org,SE,,,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/inspektionen-for-arbetsloshetsforsakring,Inspektionen för arbetslöshetsförsäkringen,Inspektionen för arbetslöshetsförsäkringen,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:iaf@iaf.se,+46-150-48-70-00,,,,,,,,,,www.iaf.se,SE,0150-487002,iaf@iaf.se,BOX 210,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/inspektionen-for-socialforsakringen,Inspektionen för socialförsäkringen,Inspektionen för socialförsäkringen,Swedish Social Insurance Inspectorate,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@inspsf.se,+46-8-580-015-00,,,,,,,,,,www.inspsf.se,SE,08-58001590,registrator@inspsf.se,BOX 202,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/inspektionen-for-strategiska-produkter,Inspektionen för strategiska produkter,Inspektionen för strategiska produkter,Swedish Agency for Non-Proliferation and Export Controls,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@isp.se,+46-8-406-31-00,,,,,,,,,,www.isp.se,SE,08-203100,registrator@isp.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/inspektionen-for-vard-och-omsorg,Inspektionen för vård och omsorg,Inspektionen för vård och omsorg,Health and Social Care Inspectorate,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@ivo.se,+46-10-788-50-00,,,,,,,,,,,SE,,registrator@ivo.se,BOX 45184,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/institutet-for-arbetsmarknads-och-utbildningspolitisk-utvardering,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,Institute for Evaluation of Labour Market and Education Policy,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:ifau@ifau.uu.se,+46-18-471-70-70,,,,,,,,,,www.ifau.se,SE,018-4757071,ifau@ifau.uu.se,BOX 513,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/institutet-for-rymdfysik,Institutet för rymdfysik,Institutet för rymdfysik,Swedish Institute of Space Physics,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:irf@irf.se,+46-980-790-00,,,,,,,,,,www.irf.se,SE,0980-79050,irf@irf.se,BOX 812,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/institutet-for-sprak-och-folkminnen,Institutet för språk och folkminnen,Institutet för språk och folkminnen,Swedish Institute for Language and Folklore,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@sprakochfolkminnen.se,,202100-1082,,,,,,,,,www.sofi.se,SE,018-652165,registrator@sprakochfolkminnen.se,BOX 135,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/jarfalla-kommun,Järfälla kommun,Järfälla kommun,Järfälla Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0043,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.jarfalla.se,SE,08-580 285 00,jarfalla.kommun@jarfalla.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/jokkmokks-kommun,Jokkmokks kommun,Jokkmokks kommun,Jokkmokk Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2676,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.jokkmokk.se,SE,0971-17000,kommun@jokkmokk.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/jonkopings-kommun,Jönköpings kommun,Jönköpings kommun,Jönköping Municipality,"kommun i Jönköpings län, Sverige","municipality in Jönköping County, Sweden",mailto:kontaktcenter­@jonkoping.se,,212000-0530,,,Större städer,3.0,,,,,http://www.jonkoping.se,SE,036-105000,kommunstyrelse@jonkoping.se,Rådhuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/jonkopings-tingsratt,Jönköpings tingsrätt,Jönköpings tingsrätt,Jönköping District Court,,,,,,,,,,,,,,www.jonkopingstingsratt.domstol.se,SE,,jonkopings.tingsratt@dom.se,BOX 2243,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/justitiekanslern,Justitiekanslern,Justitiekanslern,Chancellor of Justice,svensk myndighet,Swedish authority,mailto:registrator@jk.se,,202100-0035,,,,,,,,,www.justitiekanslern.se,SE,08-7230357,registrator@justiekanslern.se,BOX 2308,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/kalix-kommun,Kalix kommun,Kalix kommun,Kalix Municipality,"kommun i Norrbottens län, Sverige","municipality in Norrbotten County, Sweden",,,212000-2692,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.kalix.se,SE,0923-65000,kommun@kalix.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/kalmar-kommun,Kalmar kommun,Kalmar kommun,Kalmar Municipality,"kommun i Kalmar län, Sverige","municipality in Kalmar County, Sweden",,,212000-0746,,,Större städer,3.0,,,,,http://www.kalmar.se,SE,0480-450000,kommun@kalmar.se,Box 611,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/kalmar-tingsratt,Kalmar tingsrätt,Kalmar tingsrätt,Kalmar District Court,,,,,,,,,,,,,,www.kalmartingsratt.domstol.se,SE,,kalmar.tingsratt@dom.se,BOX 613,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/kammarkollegiet,Kammarkollegiet,Kammarkollegiet,"Legal, Financial and Administrative Services Agency",svensk statlig förvaltningsmyndighet,Swedish administrative government authority,mailto:registratur@kammarkollegiet.se,,202100-0829,,,,,,,,,www.kammarkollegiet.se,SE,08-204969,registratur@kammarkollegiet.se,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/kammarratten-i-goteborg,Kammarrätten i Göteborg,Kammarrätten i Göteborg,administrative court of appeal in Gothenburg,,,,,,,,,,,,,,www.kammarratten.goteborg.se,SE,031-7327600,kammarratten.goteborg@dom.se,BOX 1531,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/kammarratten-i-jonkoping,Kammarrätten i Jönköping,Kammarrätten i Jönköping,administrative court of appeal in Jönköping,,,,,,,,,,,,,,www.kammarrattenijonkoping.domstol.se,SE,036-161968,kammarrattenijonkoping@dom.se,BOX 2203,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/kammarratten-i-stockholm,Kammarrätten i Stockholm,Kammarrätten i Stockholm,administrative court of appeal in Stockholm,,,,,,,,,,,,,,www.kammarrattenistockholm.domstol.se,SE,08-149889,kammarrattenistockholm@dom.se,BOX 2302,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/kammarratten-i-sundsvall,Kammarrätten i Sundsvall,Kammarrätten i Sundsvall,administrative court of appeal in Sundsvall,,,,,,,,,,,,,,www.kammarrattenisundsvall.se,SE,060-186652,kammarrattenisundsvall@dom.se,BOX 714,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/karlsborgs-kommun,Karlsborgs kommun,Karlsborgs kommun,Karlsborg Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1629,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.karlsborg.se,SE,0505-17000,karlsborg.kommun@karlsborg.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/karlshamns-kommun,Karlshamns kommun,Karlshamns kommun,Karlshamn Municipality,"kommun i Blekinge län, Sverige","municipality in Blekinge County, Sweden",mailto:info@karlshamn.se,+46-454-810-00,212000-0845,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.karlshamn.se,SE,0454-81000,info@karlshamn.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/karlskoga-kommun,Karlskoga kommun,Karlskoga kommun,Karlskoga Municipality,"kommun i Örebro län, Sverige","municipality in Örebro County, Sweden",,,212000-1991,,,Varuproducerande kommuner,7.0,,,,,http://www.karlskoga.se,SE,0586 - 610 00,kommun@karlskoga.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/karlskrona-kommun,Karlskrona kommun,Karlskrona kommun,Karlskrona Municipality,"kommun i Blekinge län, Sverige","municipality in Blekinge County, Sweden",,,212000-0829,,,Större städer,3.0,,,,,http://www.karlskrona.se,SE,0455-303000,karlskrona.kommun@karlskrona.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/karlstads-kommun,Karlstads kommun,Karlstads kommun,Karlstad Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1850,,,Större städer,3.0,,,,,http://www.karlstad.se,SE,054-5400000,karlstadskommun@karlstad.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/karlstads-universitet,Karlstads universitet,Karlstads universitet,Karlstad University,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@kau.se,+46-54-700-10-00,202100-3120,,,,,,,,,www.kau.se,SE,054-7001460,information@kau.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/karnavfallsfondens-styrelse,Kärnavfallsfondens Styrelse,,,,,,,,,,,,,,,,www.karnavfallsfonden.se,SE,08-203881,karnavfallsfondens.styrelse@kammarkollegiet.se,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/karolinska-institutet,Karolinska Institutet,Karolinska Institutet,Karolinska Institute,statligt universitet i Stockholm,"medical university located in Stockholm, Sweden",mailto:registrator@ki.se,+46-8-524-800-00,202100-2973,,,,,,,,,www.ki.se,SE,08-311101,info@ki.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/katrineholms-kommun,Katrineholms kommun,Katrineholms kommun,Katrineholm Municipality,"kommun i Södermanlands län, Sverige","municipality in Södermanland County, Sweden",,,212000-0340,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.katrineholm.se,SE,0150-570 00,kommunen@katrineholm.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
